NUMBER,HSN_CODE,NAME_OF_COMMODITY,CHAPTER_NO,SUB_CHAPTER,GST_PERCENTAGE_INDIA
6530,8001.00.00,"Tin, unwrought",80,IV,18%
6531,8001.10.00,"Tin, not alloyed",80,IV,18%
6532,8001.20.00,Tin alloys,80,IV,18%
6533,8002.00.00,Tin waste and scrap,80,IV,18%
6534,8003.00.00,"Tin bars, rods, profiles and wire",80,IV,18%
6535,8004.00.00,----,80,---,--
6536,8005.00.00  ,----,80,---,--
6537,8006.00.00,----,80,---,--
6538,8007.00.00,Other Articles of tin,80,IV,18%
6539,8101.00.00,"Tungsten (wolfram) and articles thereof, including waste and scrap powders",81,IV,18%
6540,8101.10.00,Tungsten powders,81,IV,18%
6541,8101.91.00,"Unwrought tungsten, including bars and rods obtained simply by sintering; waste and scrap",81,IV,18%
6542,8101.92.00,"Tungsten bars and rods, other than those obtained simply by sintering, profiles, plates, sheets, strip and foil",81,IV,18%
6543,8101.93.00,Tungsten wire,81,IV,18%
6544,8101.94.00,Tungsten unwrought,81,IV,18%
6545,8101.95.10,Tungsten Hallow bars and rods,81,IV,18%
6546,8101.97.00,Tungsten waste and scrap,81,IV,18%
6547,8101.99.00,Other tungsten (wolfram) and articles thereof,81,IV,18%
6548,8101.99.10,Filament,81,IV,18%
6549,8101.99.90,Other artiles,81,IV,18%
6550,8102.00.00,"Molybdenum and articles thereof, including waste and scrap powders",81,IV,18%
6551,8102.10.00,Molybdenum powders,81,IV,18%
6552,8102.91.00.,"Unwrought molybdenum, including bars and rods obtained simply by sintering; waste and scrap",81,IV,18%
6553,8102.92.00,"Molybdenum bars and rods, other than those obtained simply by sintering; profiles, plates, sheets, strip and foil",81,IV,18%
6554,8102.93.00,Molybdenum wire,81,IV,18%
6555,8102.94.00,Molybdenum unwrought,81,IV,18%
6556,8102.95.10,Molybdenum Hallow bars and rods,81,IV,18%
6557,8102.97.00,Molybdenum waste and scrap,81,IV,18%
6558,8102.99.00,Other molybdenum and articles thereof,81,IV,18%
6559,8103.00.00  ,"Tantalum and articles thereof, including waste and scrap ",81,IV,18%
6560,8103.10.00,"Unwrought tantalum, including bars and rods obtained simply by sintering; waste and scrap;powders:",81,IV,18%
6561,8103.20.00,Tantalum unwrought ,81,IV,18%
6562,8103.30.00,Tantalum waste and scrap,81,IV,18%
6563,8103.90.00,Other tantalum and articles thereof,81,IV,18%
6564,8104.00.00,"Magnesium and articles thereof, including waste and scrap ",81,IV,18%
6565,8104.11.00,Unwrought magnesium containing at least 99.8 percent by weight of magnesium,81,IV,18%
6566,8104.19.00,Other unwrought magnesium,81,IV,18%
6567,8104.20.00,Magnesium waste and scrap,81,IV,18%
6568,8104.30.00,"Raspings, turnings and granules, graded according to size; powders",81,IV,18%
6569,8104.30.20,Magnesium powders,81,IV,18%
6570,8104.90.00  ,Other articles of magnesium,81,IV,18%
6571,8104.90.10,Magnesium wrought ,81,IV,18%
6572,8104.90.20,Megnesium Flakes,81,IV,18%
6573,8104.90.30,Megnesium wire,81,IV,18%
6574,8104.90.90,Other articles of magnesium,81,IV,18%
6575,8105.00.00,"Cobalt mattes and other intermediate products of cobalt metallurgy; cobalt and articles thereof, including waste and scrap ",81,IV,18%
6576,8105.10.00,Cobalt mattes and other intermediate products of cobalt metallurgy; unwrought cobalt; waste and scrap; powders,81,IV,18%
6577,8105.20.20,Cobalt unwrought,81,IV,18%
6578,8105.20.30,Cobalt powders,81,IV,18%
6579,8105.30.00,Cobalt waste and scrap,81,IV,18%
6580,8105.90.00,Other articles of cobalt,81,IV,18%
6581,8106.00.00,"Bismuth and articles thereof, including waste and scrap ",81,IV,18%
6582,8106.00.10,"Bismuth, unwrought",81,IV,18%
6583,8106.00.20,"Bismuth, waste and scrap",81,IV,18%
6584,8107.00.00,"Cadmium and articles thereof, including waste and scrap ",81,IV,18%
6585,8107.10.00,Unwrought cadmium; waste and scrap; powders,81,IV,18%
6586,8107.20.00,"Cadmium, unwrought powders",81,IV,18%
6587,8107.30.00,"Cadmium, waste and scrap",81,IV,18%
6588,8107.90.00,"Other cadmium and articles thereof,",81,IV,18%
6589,8107.90.10,Cadmium wrought,81,IV,18%
6590,8107.90.90,Articles of Cadmium,81,IV,18%
6591,8108.00.00,"Titanium and articles thereof, including waste and scrap.",81,IV,18%
6592,8108.10.00,Unwrought titanium; waste and scrap; powders:,81,IV,18%
6593,8108.10.90,Wrought titanium,81,IV,18%
6594,8108.20.00,"Titanium, unwrought powders",81,IV,18%
6595,8108.30.00,"Titanium, waste and scrap",81,IV,18%
6596,8108.90.00,Other titanium and articles thereof,81,IV,18%
6597,8109.00.00,"Zirconium and articles thereof, including waste and scrap ",81,IV,18%
6598,8109.10.00,"Antimony, unwrought powders",81,IV,18%
6599,8109.10.00  ,Unwrought zirconium; waste and scrap; powders,81,IV,18%
6600,8109.20.00,"Antimony, waste and scrap",81,IV,18%
6601,8109.20.00,"Zirconium, unwrought powders",81,IV,18%
6602,8109.30.00,"Zirconium, waste and scrap",81,IV,18%
6603,8109.90.00,Other zirconium and articles thereof,81,IV,18%
6604,8110.00.00,"Antimony and articles thereof, including waste and scrap",81,IV,18%
6605,8110.90.00,Other Antimony  and articles thereof,81,IV,18%
6606,8111.00.00,"Manganese and articles thereof, including waste and scrap ",81,IV,18%
6607,8111.00.00,"Manganese and articles thereof, including waste and scrap",81,IV,18%
6608,8111.00.10,"Manganese, unwrought powders",81,IV,18%
6609,8111.00.20,"Manganese, waste and scrap",81,IV,18%
6610,8111.00.30,Wrought manganese,81,IV,18%
6611,8111.00.90,Other articles of manganese,81,IV,18%
6612,8112.00.00,"Beryllium, chromium, germanium, vanadium, gallium, hafnium, indium, niobium (columbium), rhenium and thallium, and articles of these metals, including waste and scrap ",81,IV,18%
6613,8112.11.00,Unwrought; waste and scrap; powders of beryllium,81,IV,18%
6614,8112.12.00,"Beryllium, unwrought powders",81,IV,18%
6615,8112.13.00,"Beryllium, waste and scrap",81,IV,18%
6616,8112.19.00,"Other articles of , of beryllium",81,IV,18%
6617,8112.20.00,Chromium,81,IV,18%
6618,8112.21.00,"Chromium, unwrought powders",81,IV,18%
6619,8112.22.00,"Chromium, waste and scrap",81,IV,18%
6620,8112.30.00,Germanium,81,IV,18%
6621,8112.30.10,"Germanium, unwrought powders",81,IV,18%
6622,8112.30.20,"Germanium, waste and scrap",81,IV,18%
6623,8112.40.00,Vanadium,81,IV,18%
6624,8112.40.10,"Vanadium, unwrought powders",81,IV,18%
6625,8112.40.20,"Vanadium, waste and scrap",81,IV,18%
6626,8112.51.00,"Vanadium, unwrought powders",81,IV,18%
6627,8112.52.00,"Vanadium, waste and scrap",81,IV,18%
6628,8112.59.00,Thallium,81,IV,18%
6629,8112.91.00,Unwrought; waste and scrap; powders,81,IV,18%
6630,8112.99.00,"Other articles of gallium, hafnium, indium, niobium, rhenium, thallium",81,IV,18%
6631,8113.00.00,Artciles of cermets,81,IV,18%
6632,8113.00.00,Cement or concrete frames for doores and windows,81,IV,18%
6633,8113.00.10,"Cermets, unwrought powders",81,IV,18%
6634,8113.00.20,"Cermets, waste and scrap",81,--,--
6635,8201.00.00,"Hand tools, the following : spades, shovels, mattocks, picks, hoes, forks and rakes; axes, bill hooks and similar hewing tools; secateurs and pruners of any kind; scythes, sickles, hay knives, hedge shears, timber wedges and other tools of a kind used in agriculture, horticulture or forestry ",82,I,NIL
6636,8201.00.00,Agricultural implements manually operated or animal driven,82,I,NIL
6637,8201.10.00,"Spades and shovels, and parts thereof",82,I,NIL
6638,8201.20.00,"Forks, and parts thereof",82,I,NIL
6639,8201.30.00,"Mattocks, picks, hoes and rakes, and parts thereof",82,I,NIL
6640,8201.40.00,"Axes, bill hooks and similar hewing tools, and parts thereof",82,I,NIL
6641,8201.40.00,Hex keys,82,I,NIL
6642,8201.50.00.,"One-handed secateurs and similar one-handed pruners and shears (including poultry shears), and parts thereof",82,I,NIL
6643,8201.60.00,"Hedge shears, two-handed pruning shears and similar two-handed shears, and parts thereof",82,I,NIL
6644,8201.90.00,Agricultural sprayers operated by hand and its parts,82,I,NIL
6645,8201.90.00,Alavangoos,82,I,NIL
6646,8201.90.00,Budding Knives,82,I,NIL
6647,8201.90.00,Bush Knives,82,I,NIL
6648,8201.90.00,Cane Cutting Knives,82,I,NIL
6649,8201.90.00,Churku,82,I,NIL
6650,8201.90.00,Coconut dehusker,82,I,NIL
6651,8201.90.00,Crow bar,82,I,NIL
6652,8201.90.00,Digging forks,82,I,NIL
6653,8201.90.00,Felling Knives,82,I,NIL
6654,8201.90.00,Garden clears,82,I,NIL
6655,8201.90.00,Grass Knives,82,I,NIL
6656,8201.90.00,Grubbing mattocks,82,I,NIL
6657,8201.90.00,Hand forks,82,I,NIL
6658,8201.90.00,Hand pump ,82,I,NIL
6659,8201.90.00,Hand Trowds,82,I,NIL
6660,8201.90.00,Kakre (Weeding racks),82,I,NIL
6661,8201.90.00,Kodali,82,I,NIL
6662,8201.90.00,Kozhu,82,I,NIL
6663,8201.90.00,Kunthali,82,I,NIL
6664,8201.90.00,Malcheles,82,I,NIL
6665,8201.90.00,Mammatties,82,I,NIL
6666,8201.90.00,Mammatty forks,82,I,NIL
6667,8201.90.00,Manure pan,82,I,NIL
6668,8201.90.00,Other agricultural implements,82,I,NIL
6669,8201.90.00,"Other handtools of a kind used in agriculture, horticulture or forestry, and parts thereof",82,I,NIL
6670,8201.90.00,Paddy seeder,82,I,NIL
6671,8201.90.00,Palm Climber,82,I,NIL
6672,8201.90.00,Pickaxe,82,I,NIL
6673,8201.90.00,"Plastic cup or rubber bowl, Spout and cup holder for latex collection",82,I,NIL
6674,8201.90.00,"Potato racks, Potato toes",82,I,NIL
6675,8201.90.00,Powrah,82,I,NIL
6676,8201.90.00,Pruning Knives,82,I,NIL
6677,8201.90.00,Quinthali,82,I,NIL
6678,8201.90.00,Rubber tapping knives,82,I,NIL
6679,8201.90.00,Sickles,82,I,NIL
6680,8201.90.00,Sledge Hammer,82,I,NIL
6681,8201.90.00,Thumba,82,I,NIL
6682,8201.90.00,Trenching Toes,82,I,NIL
6683,8201.90.00,Wading forks,82,I,NIL
6684,8201.90.00,Wading toes,82,I,NIL
6685,8202.00.00,"Hand saws; blades for saws of all kinds (including slitting, slotting or toothless saw blades) ",82,yet to be notifed,
6686,8202.10.10,Metal working hand-saws,82,yet to be notifed,
6687,8202.10.20,Hand saw,82,yet to be notifed,
6688,8202.10.20,Wood working and similar hand-saws,82,yet to be notifed,
6689,8202.20.00,Banksaw blades,82,yet to be notifed,
6690,8202.31.00,Circular saw baldes with working part of steel,82,yet to be notifed,
6691,8202.40.00,Chain saw blades,82,yet to be notifed,
6692,8202.91.00,"Straight saw blades, for working metal",82,yet to be notifed,
6693,8202.91.20,Handsaw blades,82,yet to be notifed,
6694,8202.99.10,Hacksaw frames,82,yet to be notifed,
6695,8203.00.00,"Files, rasps, pliers (including cutting pliers), pincers, tweezers, metal cutting shears, pipe- cutters, bolt croppers, perforating punches and similar hand tools ",82,IV,18%
6696,8203.10.00,"Files, rasps, and similar tools",82,IV,18%
6697,8203.20.00,Pliers,82,IV,18%
6698,8203.20.00,"Pliers (including cutting pliers), pincers, tweezers, and similar tools, and parts thereof:",82,IV,18%
6699,8203.30.00,"Metal-cutting shears and similar tools, and parts thereof",82,IV,18%
6700,8203.40.00,"Pipe cutters, bolt cutters, perforating punches,and similar tools, and parts thereof",82,IV,18%
6701,8203.40.90,Perforating puches and pipe cutters,82,IV,18%
6702,8204.00.00,"Hand- operated spanners and wrenches (including torque meter wrenches but not including tap wrenches); interchangeable spanner sockets, with or without handles .",82,IV,18%
6703,8204.11.00,"Non-adjustable, and parts thereof:",82,IV,18%
6704,8204.11.20,Wrenches,82,IV,18%
6705,8204.12.00,"Adjustable, and parts thereof",82,IV,18%
6706,8204.20.00,"Socket wrenches, with or without handles, drives and extensions, and parts thereof",82,IV,18%
6707,8205.00.00,"Hand tools (including glaziers diamonds), not elsewhere specified or included; blow lamps; vices; clamps and the like, other than accessories for and parts of, machine tools; anvils; portable forges; hand- or pedal- operated grinding wheels with frameworks ",82,IV,18%
6708,8205.10.00,Bits,82,IV,18%
6709,8205.10.00,"Drilling, threading or tapping tools, and parts thereof",82,IV,18%
6710,8205.20.00,"Hammers and sledge hammers, and parts thereof",82,IV,18%
6711,8205.30.00,"Planes, chisels, gouges and similar cutting tools for working wood, and parts thereof",82,IV,18%
6712,8205.40.00,Screw drivers,82,IV,18%
6713,8205.40.00,"Screwdrivers, and parts thereof",82,IV,18%
6714,8205.51.00,"Household tools, and parts thereof",82,IV,18%
6715,8205.59.00,Other handtools,82,IV,18%
6716,8205.59.10,Levels,82,IV,18%
6717,8205.59.20,Metal working hand tools,82,IV,18%
6718,8205.60.00,"Blow torches and similar self-contained torches,and parts thereof",82,IV,18%
6719,8205.70.00,"Vises, clamps and the like, and parts thereof:",82,IV,18%
6720,8205.80.00,Anvils; portable forges; hand- or pedal-operated grinding wheels with frameworks; and parts thereof,82,IV,18%
6721,8205.80.10,Anvils and portable forges,82,IV,18%
6722,8205.80.20,"Grinding wheels with frames, hand or pedal operated",82,IV,18%
6723,8205.90.00,Sets of articles of two or more of the foregoing subheadings,82,IV,18%
6724,8206.00.00,"Tools of two or more of the headings 8202 to 8205, put up in sets for retail sale ",82,IV,18%
6725,8207.00.00,"Interchangeable tools for hand tools, whether or not power- operated, or for machine- tools (for example, for pressing, stamping, punching, tapping, threading, drilling, boring, broaching, milling, turning or screw driving), including dies for drawing or extruding metal, and rock drilling or earth boring tools- rock drilling or earth boring tools .",82,IV,18%
6726,8207.11.00,"Rock drilling or earth boring tools, with working part of sintered metal carbide or cermets, and parts thereof",82,IV,18%
6727,8207.12.00,"Rock drilling or earth boring tools, with working part of other material, and parts thereof:",82,IV,18%
6728,8207.13.00,Rock drilling or earth-boaring tools with working part of cermets,82,IV,18%
6729,8207.20.00,"Dies for drawing or extruding metal, and parts thereof",82,IV,18%
6730,8207.30.00,"Tools for pressing, stamping or punching, and parts thereof:",82,IV,18%
6731,8207.40.00,"Tools for tapping or threading, and parts thereof",82,IV,18%
6732,8207.50.00,"Tools for drilling, other than for rock drilling, and parts thereof:",82,IV,18%
6733,8207.50.00 ,Tools for drilling other than rocked drilling,82,IV,18%
6734,8207.60.00,"Tools for boring or broaching, and parts thereof:",82,IV,18%
6735,8207.60.10,Reamers,82,IV,18%
6736,8207.70.00,"Tools for milling, and parts thereof:",82,IV,18%
6737,8207.80.00,Tools for turning,82,IV,18%
6738,8207.90.00,"Other interchangeable tools, and parts thereof",82,IV,18%
6739,8207.90.30,Lathe tools and tool belts,82,IV,18%
6740,8207.90.90,Socket,82,IV,18%
6741,8208.00.00,"Knives and cutting blades, for machines or for mechanical appliances ",82,IV,18%
6742,8208.10.00,"For metal working, and parts thereof",82,IV,18%
6743,8208.20.00,"For wood working, and parts thereof",82,IV,18%
6744,8208.30.00,"For kitchen appliances or for machines used by the food industry, and parts thereof",82,IV,18%
6745,8208.40.00,"For agricultural, horticultural or forestry machines, and parts thereof",82,IV,18%
6746,8208.90.00,Other (including parts),82,IV,18%
6747,8208.90.10,Knives and cutting blades for paper cutting machines,82,IV,18%
6748,8208.90.20,Bell skiving knives,82,IV,18%
6749,8208.90.30,Band knief for splitting machine,82,IV,18%
6750,8208.90.40,Cutting and clicking dies,82,IV,18%
6751,8209.00.00,"Plates , sticks, tips and the like for tools, unmounted, of cermets",82,IV,18%
6752,8209.00.00,"Plates, sticks, tips etc f tools unmntd sntrd crbds/crmts",82,IV,18%
6753,8209.00.10,Tungsten carbide tips for tools,82,IV,18%
6754,8210.00.00,"Hand-operated mechanical appliances, weighing 10 kg or less, used in the preparation, conditioning or serving of food or drink",82,IV,18%
6755,8210.00.00,"Hand-operated mechanical appliances, weighing 10 kg (2205 pounds) or less, used in the preparation, conditioning or serving of food or drink, and base metal parts thereof",82,IV,18%
6756,8211.00.00,"Knives with cutting blades, serrated or not (including pruning knives), other than knives of heading 8208, and blades therefor ",82,III,12%
6757,8211.10.00  ,Sets of assorted knives and knife blades,82,III,12%
6758,8211.91.00,"Table knives having fixed blades, and parts thereof",82,III,12%
6759,8211.92.00,Kirpan,82,III,12%
6760,8211.92.00,"Other knives having fixed blades, and parts thereof",82,III,12%
6761,8211.93.00,"Knives having other than fixed blades, and parts thereof (except blades)",82,III,12%
6762,8211.93.10,Cutter blades,82,III,12%
6763,8211.93.10,Pocket Knives,82,III,12%
6764,8211.94.00,Blades,82,III,12%
6765,8211.94.00,Cutter knives,82,III,12%
6766,8211.95.00,Handles of base metals,82,III,12%
6767,8212.00.00,Razors and razor blades (including razor blade blanks in strips) ,82,V,28%
6768,8212.10.00,Razors,82,V,28%
6769,8212.10.10,Safety razor-twin type shaving,82,V,28%
6770,8212.10.90,Safety razor - other,82,V,28%
6771,8212.20.00,"Safety razor blades, including razor blade blanks in strips",82,V,28%
6772,8212.20.11,Disposable cartridge blade,82,V,28%
6773,8212.20.20,"Safety razor blade blanks, in strips",82,V,28%
6774,8212.90.00,Other parts of razors,82,V,28%
6775,8213.00.00,"Scissors, tailors shears and similar shears, and blades therefor",82,IV,18%
6776,8214.00.00,"Other articles of cutlery (for example, hair clippers, butchers' or kitchen cleavers, choppers and mincing knives,); manicure or pedicure sets and instruments (including nail files); other than paper knives, pencil sharpeners and blades thereof ",82,V,28%
6777,8214.00.00,Pencil sharpeners and blades thereof,82,III,12%
6778,8214.10.00,Paper knives,82,III,12%
6779,8214.10.10,"Paper knives, letter openers, erasing knives, pencil sharpeners",82,III,12%
6780,8214.20.00,"Manicure or pedicure sets and instruments(including nail files), and parts thereof",82,V,28%
6781,8214.20.10,Nail cutters,82,V,28%
6782,8214.90.00,Other articles of cutlery,82,V,28%
6783,8215.00.00,"Spoons, forks, ladles, skimmers, cake- servers, fishknives, butter- knives, sugar tongs and similar kitchen or tableware ",82,IV,18%
6784,8215.10.00,Sets of assorted articles containing at least one article plated with precious metal,82,IV,18%
6785,8215.20.00,"Other sets of assorted spoons, forks, ladles, skimmers, cake-servers",82,IV,18%
6786,8215.91.00,"Spoons, forks, ladles, skimmers, cake-servers, plated with precious metal",82,IV,18%
6787,8215.99.00,"Spoons, forks, ladles, skimmers, cake-servers, not plated with precious metal",82,IV,18%
6788,8301.00.00,"Padlocks and locks (key, combination or electrically operated), of base metal; clasps and frames with clasps, incorporating locks, of base metal; keys for any of the foregoing articles, of base metal ",83,IV,18%
6789,8301.10.00,Padlocks of base metal,83,IV,18%
6790,8301.20.00,Locks of a kind used for motor vehicles of base metal,83,IV,18%
6791,8301.30.00,Locks of a kind used for furniture of base metal,83,IV,18%
6792,8301.40.00,Other locks of base metal,83,IV,18%
6793,8301.40.10,Combination locks,83,IV,18%
6794,8301.40.90,Locks (other),83,IV,18%
6795,8301.50.00,"Clasps and frames with clasps, incorporating locks of base metal",83,IV,18%
6796,8301.60.00,Parts of padlocks and locks of base metal,83,IV,18%
6797,8301.70.00,Keys presented separately of base metal,83,IV,18%
6798,8302.00.00,"Base metal mountings, fittings and similar articles suitable for furniture, doors, staircases, windows, blinds, coachwork, saddlery, trunks, chests, caskets or the like; base metal hat - racks, hat - pegs, brackets and similar fixtures; castors with mountings of base metal; automatic door closers of base metal .",83,V,28%
6799,8302.10.00,"Hinges, and parts thereof, of base metal",83,V,28%
6800,8302.20.00,"Castors, and parts thereof, of base metal",83,V,28%
6801,8302.30.00  ,"Other mountings, fittings and similar articles suitable for motor vehicles; and parts thereof, of base metal",83,V,28%
6802,8302.41.00,"Other mountings, fittings and similar articles, and parts thereof: suitable for buildings, of base metal",83,V,28%
6803,8302.41.10,Door stepper,83,V,28%
6804,8302.41.10,Handle,83,V,28%
6805,8302.41.10,Hooks and eyes,83,V,28%
6806,8302.41.10,Key hole,83,V,28%
6807,8302.41.20,Tower bolt,83,V,28%
6808,8302.41.90,Ms clamp for fan fittings; Iron hasps and Staples,83,V,28%
6809,8302.42.00,"Other mountings, fittings and similar articles, and parts thereof: suitable for furniture, of base metal (Telescopic slider, Slider Wheel)",83,V,28%
6810,8302.49.00,"Other: other mountings, fittings and similar articles, and parts thereof, of base metal",83,V,28%
6811,8302.50.00,"Hat-racks, hat-pegs, brackets and similar fixtures, and parts thereof , of base metal",83,V,28%
6812,8302.60.00,"Automatic door closers, and parts thereof , of base metal",83,V,28%
6813,8303.00.00,"Armoured or reinforced safes, strong - boxes - and doors and safe deposit lockers for strong - rooms, cash or deed boxes and the like, of base metal",83,V,28%
6814,8304.00.00,"Filing, cabinets, card - index cabinets, paper trays, paper rests, pen trays, office-stamp stands and similar office or desk equipment, of base metal, other than office furniture of heading 9403",83,V,28%
6815,8305.00.00,"Fittings for loose-leaf binders or files, letter clips, letter corners, paper clips, indexing tags and similar office articles, of base metal; staples in strips (for example, for offices, upholstery, packaging), of base metal ",83,V,28%
6816,8305.10.00,"Fittings for looseleaf binders or files, of base metal",83,V,28%
6817,8305.20.00,"Staples in strips, of base metal",83,V,28%
6818,8305.90.00,"Other, including parts: letter clips, letter corners, indexing tags, paper clips, of base metal",83,V,28%
6819,8305.90.20,Index file clips and gem clips,83,V,28%
6820,8305.90.90,Pokers,83,V,28%
6821,8306.00.00,"Bells, gongs and the like.",83,IV,18%
6822,8306.10.00,"Bells, gongs, and the like, and parts thereof statuettes and other ornaments, and parts thereof, of base metal",83,IV,18%
6823,8306.21.00,"Statuettes and other ornaments, plated with precious metal, and parts thereof, of base metal",83,IV,18%
6824,8306.29.00,"Other statuettes and other ornaments, of base metal",83,IV,18%
6825,8306.29.10,Statuettes of base metal,83,IV,18%
6826,8306.29.20,Trophies of base metal,83,IV,18%
6827,8306.30.00,"Photograph, picture or similar frames; mirrors; and parts thereof , of base metal",83,IV,18%
6828,8307.00.00,Flexible tubing of base metal,83,IV,18%
6829,8307.10.00,Flexible tubing of iron or steel,83,IV,18%
6830,8307.90.00,Flexible tubing of other base metal,83,IV,18%
6831,8308.00.00,"Clasps, frames with clasps, buckles, buckle-clasps, hooks, eyes, eyelets and the like, of base metal, of a kind used for clothing, footwear, awnings, handbags, travel goods or other made up articles; tubular or bifurcated rivets, of base metal; beads and spangles, of base metals ",83,V,28%
6832,8308.10.00,"Hooks, eyes and eyelets, of base metal",83,V,28%
6833,8308.20.00,"Tubular or bifurcated rivets, of base metal",83,V,28%
6834,8308.90.00,"Other, including parts: clasps, buckles, buckle clasps, beads, spangles, of base metal",83,V,28%
6835,8309.00.00,"Stoppers, caps and lids (including crown corks, screw caps and pouring stoppers), capsules for bottles, threaded bungs, bung covers, seals and other packing accessories, of base meta ",83,IV,18%
6836,8309.00.00,Capsules for bottles,83,IV,18%
6837,8309.00.00,Seals and other packing accessories of base metal ,83,IV,18%
6838,8309.00.00,Seals and wads ,83,IV,18%
6839,8309.00.00,Stoppers,83,IV,18%
6840,8309.00.00,"Stoppers, caps & lids, seals etc & pas, base metal",83,IV,18%
6841,8309.00.00,Threaded bungs,83,IV,18%
6842,8309.10.00,"Crown corks (including crown seals and caps), and parts thereof, of base metal",83,IV,18%
6843,8309.90.00,"Other : stoppers, caps, lids, seals, other packing accessories, of base metal",83,IV,18%
6844,8309.90.10,"Pilfer proof caps for packing, all sorts, with or without washers or other fittings of cork, rubber, polyethyline or any other material",83,IV,18%
6845,8309.90.20,"Aluminium caps, seals capsules and closures",83,IV,18%
6846,8309.90.90,Other seales,83,IV,18%
6847,8310.00.00,"Sign - plates, name - plates, address - plates and similar plates, numbers, letters and other symbols, of base metal, excluding those of heading 9405 - sign - plates, name - plates, address - plates and similar plates, numbers, letters and other symbols, of base metal, excluding those of heading 9405",83,V,28%
6848,8310.00.00,"Sign plates, name plates, address plates and similar plates, numbers, letters and other symbols, and parts thereof, of base metal, excluding those of heading 9405",83,V,28%
6849,8311.00.00,"Wire, rods, tubes, plates, electrodes and similar products, of base metal or of metal carbides, coated or cored with flux material, of a kind used for soldering, brazing, welding or deposition of metal or of metal carbides; wire and rods, of agglomerated base metal powder, used for metal spraying ",83,IV,18%
6850,8311.10.00,"Coated electrodes of base metal, for electric arc-welding",83,IV,18%
6851,8311.20.00,"Cored wire of base metal, for electric arc-welding",83,IV,18%
6852,8311.90.00,"Coated rods and cored wire, of base metal, for soldering, brazing or welding by flame: other, including parts",83,IV,18%
6853,8401.00.00,"Nuclear reactors; fuel elements (cartridges), non-irradiated, for nuclear reactors; machinery and apparatus for isotopic separation ",84,IV,18%
6854,8401.10.00,Nuclear reactors,84,IV,18%
6855,8401.20.00,"Machinery and apparatus for isotopic separation, and parts thereof",84,IV,18%
6856,8401.30.00,"Fuel elements (cartridges), non-irradiated, for nuclear reactors",84,III,12%
6857,8401.30.00,Nuclear fuel elements,84,III,12%
6858,8401.40.00,Parts of nuclear reactors,84,IV,18%
6859,8402.00.00,Steam or other vapour generating boilers (other than central heating hot water boilers capable also of producing low pressure steam); superheated water boilers ,84,IV,18%
6860,8402.11.00,Watertube boilers with a steam production exceeding 45t per hour,84,IV,18%
6861,8402.12.00,Watertube boilers with a steam production not exceeding 45t per hour,84,IV,18%
6862,8402.19.00,"Other vapour generating boilers, including hybrid boilers",84,IV,18%
6863,8402.20.00,Super-heated water boilers,84,IV,18%
6864,8402.90.00,Parts of steam generating boilers and super-heated water boilers,84,IV,18%
6865,8403.00.00,Central heating boilers other than those of heading 8402 ,84,IV,18%
6866,8403.10.00,Central heating boilers,84,IV,18%
6867,8403.90.00,Parts of central heating boilers,84,IV,18%
6868,8404.00.00,"Auxiliary plant for use with boilers of heading 8402 or 8403 (for example, economisers, superheaters, soot removers, gas recoverers); condensers for steam or other vapour power units.",84,IV,18%
6869,8404.10.00,Auxiliary plant for use with boilers,84,IV,18%
6870,8404.20.00,Condensers for steam or other vapour power units,84,IV,18%
6871,8404.90.00,Parts of auxiliary plant for use with boilers and condensers,84,IV,18%
6872,8405.00.00,"Producer gas or water gas generators, with or without their purifiers; acetylene gas generators and similar water process gas generators, with or without their purifiers - producer gas or water gas generators, with or without their purifiers; acetylene gas generators and similar water process gas generators, with or without their purifiers ",84,IV,18%
6873,8405.10.10,Producer or water gas generators,84,IV,18%
6874,8405.10.20,Acetylene gas generators,84,IV,18%
6875,8405.90.00,"Parts of producers gas of water  gas generators, with or without their purifiers; acetylene gas generators and similar water process gas generators with or without their purifiers",84,IV,18%
6876,8406.00.00,Steam turbines & other vapor turbines.,84,IV,18%
6877,8406.11.00,"Steam turbines and other vapour turbines, for marine propulsion",84,IV,18%
6878,8406.19.00,Other steam turbines and other vapour turbines,84,IV,18%
6879,8406.90.00,Parts of steam turbines and other vapour turbines,84,IV,18%
6880,8407.00.00,Spark-ignition reciprocating or rotary internal combustion piston engines aircraft engines,84,V,28%
6881,8407.10.00,Aircraft engines (spark-ignition),84,V,28%
6882,8407.21.00,Outboard motors,84,V,28%
6883,8407.29.00,Other marine propulsion engines (spark-ignition),84,V,28%
6884,8407.31.00,"Reciprocating piston engines for vehicles, not exceeding 500cc",84,V,28%
6885,8407.32.00,"Reciprocating piston engines for vehicles, cylinder capacity 50-250cc",84,V,28%
6886,8407.33.00,"Reciprocating piston engines for vehicles, cylinder capacity 250-1,000cc",84,V,28%
6887,8407.34.00,"Reciprocating piston engines for vehicles, exceeding 1, 000cc",84,V,28%
6888,8407.90.00,Other spark-ignition internal combustion piston engines,84,V,28%
6889,8407.90.10,Petrol engines,84,V,28%
6890,8407.90.20,Kerosene engines,84,V,28%
6891,8408.00.00,"Compression-ignition internal combustion piston engines (diesel or semi-diesel engines).

",84,V,28%
6892,8408.10.00,Marine propulsion engines (compression-ignition),84,V,28%
6893,8408.20.00,Compression-ignition internal combustion piston engines for vehicles,84,V,28%
6894,8408.90.00,Other compression-ignition internal combustion piston engines,84,V,28%
